nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  0   0   0 20  6 14   921.601677980 0.000600082          17    A'    7   921.5474  0.054278
  0   0   1 10  1  9   798.881007586 0.000489916           6    A"    7   798.9386  0.057592
  4   0   0 20  0 20 13635.203007840 0.002286087           4    A' 2752 13635.2607  0.057692
  0   0   1 10  1 10   798.166599174 0.000489907           7    A'    9   798.2263  0.059701
  0   0   0 20  5 16   704.953243671 0.000600037          48    A'    6   704.8914  0.061844
  0   0   0 20  5 15   704.953259618 0.000600080          50    A"    5   704.8914  0.061860
  4   0   0 10  5  6 13902.207251429 0.002029789           4    A' 2685 13902.2695  0.062249
  4   0   0 10  5  5 13902.206386540 0.002029793           5    A" 2402 13902.2695  0.063113
  0   0   0 20  4 16   526.970183566 0.000600015          64    A'    5   526.9029  0.067284
  0   0   0 20  4 17   526.970194488 0.000600025          58    A"    4   526.9029  0.067294
  0   0   0 20  3 17   388.078180115 0.000600016          71    A"    3   388.0072  0.070980
  0   0   0 20  3 18   388.077994953 0.000565712          64    A'    4   388.0070  0.070995
  0   0   1 10  0 10   778.589656572 0.000489907           5    A'    8   778.6613  0.071643
  0   0   0 20  1 20   227.451130429 0.000529210          54    A'    2   227.3780  0.073130
  0   0   0 20  2 19   288.601534598 0.000565741          56    A"    2   288.5284  0.073135
  0   0   0 20  2 18   288.647614252 0.000565702          58    A'    3   288.5744  0.073214
  0   0   0 20  0 20   208.837730333 0.000529169          46    A'    1   208.7632  0.074530
  0   0   0 20  1 19   230.182591826 0.000565703          50    A"    1   230.1072  0.075392
  1   0   0 10  7  3  4593.770764729 0.001552439           2    A"  141  4593.8520  0.081235
  1   0   1 10  0 10  4386.051442292 0.000810931           4    A'  143  4385.9686  0.082842
  0   0   1 15  2 14   922.311531633 0.000600029           7    A'    8   922.2272  0.084332
  0   0   1 15  2 13   922.326458197 0.000600011           8    A"   10   922.2420  0.084458
  2   0   0 20  3 18  7423.153055932 0.000822757           8    A'  514  7423.0670  0.086056
  2   0   0 20  3 17  7423.153465895 0.000846711           7    A"  458  7423.0673  0.086166
  2   0   0 20  1 19  7277.886634540 0.000846711           5    A"  436  7277.9824  0.095765
  2   0   0 20  1 20  7274.982631797 0.000822751           5    A'  487  7275.0834  0.100768
  2   0   0 20  4 16  7551.108160557 0.001381195           7    A'  540  7551.0038  0.104361
  2   0   0 20  4 17  7551.108261383 0.001381183           7    A"  483  7551.0038  0.104461
  3   1   0 20  5 16 12137.681612055 0.002097622           1    A' 1965 12137.7881  0.106488
  4   0   0 15  6  9 14150.321684725 0.005027931           1    A" 3123 14150.2147  0.106985
  1   0   1 10  1 10  4404.826447003 0.000810931           5    A'  147  4404.7172  0.109247
  3   2   0 10  2  9 12742.147973347 0.002989414           2    A" 1875 12742.0364  0.111573
  1   0   1 10  1  9  4405.563823189 0.000810936           6    A"  129  4405.4513  0.112523
  4   0   0 10  6  4 14085.981252252 0.002039622           1    A' 2790 14085.8671  0.114152
  3   2   0 10  2  8 12742.151258341 0.002029779           2    A' 2099 12742.0364  0.114858
  2   0   0 10  3  8  7269.568703027 0.001306753           6    A'  470  7269.6857  0.116997
  2   0   0 10  3  7  7269.568066301 0.001291363           6    A"  416  7269.6857  0.117634
  2   0   0 20  0 20  7258.018905849 0.000822751           1    A'  484  7258.1414  0.122494
  1   0   0 20  6 14  4502.383181667 0.001627912           2    A'  150  4502.5073  0.124118
  2   0   0 15  4 12  7462.002383223 0.001337017           8    A'  480  7461.8756  0.126783
  0   0   1 10  4  7  1096.477777288 0.000529168           8    A"   11  1096.3497  0.128077
  0   0   1 10  4  6  1096.477778441 0.000529183          10    A'   13  1096.3497  0.128078
  2   0   0 15  2 14  7242.329106349 0.000772603           6    A'  447  7242.4739  0.144794
  0   0   1 15  3 12  1021.690541605 0.000600012          11    A'    9  1021.5436  0.146942
  0   0   1 15  3 13  1021.690496823 0.000600074           9    A"   11  1021.5435  0.146997
  2   0   0 15  2 13  7242.345167925 0.000772601           7    A"  499  7242.4923  0.147132
  3   1   0 10  2  8 11605.300767939 0.000608296           2    A' 1617 11605.4519  0.151132
  1   0   1 20  4 16  4843.575064668 0.001621857           4    A'  178  4843.4232  0.151865
  1   0   1 20  4 17  4843.575097367 0.001621860           4    A"  158  4843.4232  0.151897
  3   1   0 10  2  9 11605.296271835 0.000608292           2    A" 1443 11605.4518  0.155528
  4   0   0 15  4 12 13815.589190993 0.002049394           4    A' 2634 13815.7454  0.156209
  4   0   0 15  4 11 13815.586643960 0.002049412           6    A" 2908 13815.7454  0.158756
  0   0   1  0  0  0   724.358150208 0.000565686           1    A'    2   724.5184  0.160250
  3   2   0 15  3 12 12900.079231588 0.002049394           3    A' 2158 12899.9172  0.162032
  3   2   0 15  3 13 12900.079227922 0.002049412           3    A" 2385 12899.9171  0.162128
  4   0   0 15  0 15 13546.196358191 0.002049395           4    A" 2750 13546.3601  0.163742
  3   2   0 20  1 20 12836.311535045 0.002068821           1    A' 2309 12836.1450  0.166535
  0   0   1 20  0 20   931.272365832 0.000663339           4    A'    8   931.0940  0.178366
  0   0   1 20  1 20   949.865076700 0.000663339           8    A'    9   949.6777  0.187377
  1   0   1 10  2  8  4462.566537280 0.000810931           7    A'  152  4462.3780  0.188537
  3   2   0 15  1 15 12748.552293883 0.002935271           2    A" 2304 12748.3630  0.189294
  1   0   1 10  2  9  4462.564326526 0.000810936           7    A"  133  4462.3746  0.189727
  0   0   1 20  1 19   952.587087450 0.000692834           7    A"    7   952.3918  0.195287
  1   0   0 15  6  9  4413.300303412 0.001590625           1    A"  150  4413.5038  0.203497
  3   1   0 10  6  4 12182.462870882 0.002039628           1    A' 1846 12182.6735  0.210629
  3   1   0 10  6  5 12182.462841328 0.002039624           1    A" 1649 12182.6735  0.210659
  1   0   1 15  0 15  4450.002819771 0.000881824           5    A"  151  4449.7915  0.211320
  3   2   0 20  2 19 12894.622535342 0.002078465           2    A" 2116 12894.4077  0.214835
  3   1   0 20  2 18 11758.198130061 0.002068823           1    A' 1801 11757.9830  0.215130
  2   0   0 15  1 14  7188.065121289 0.000746315           5    A'  436  7188.2809  0.215779
  4   0   0 20  5 15 14055.304859636 0.002088065           6    A" 2723 14055.5208  0.215940
  2   0   0 15  1 15  7186.403495772 0.000772601           6    A"  487  7186.6223  0.218804
  4   0   0 20  5 16 14055.299521825 0.002088068           5    A' 3007 14055.5208  0.221278
  0   0   1 20  2 19  1010.935274830 0.000692834           9    A"    8  1010.7059  0.229375
  0   0   1 20  2 18  1010.980973240 0.000663347          10    A'   10  1010.7514  0.229573
  0   0   1 15  4 11  1160.460710787 0.000600074          11    A"   13  1160.2287  0.232011
  0   0   1 15  4 12  1160.460742011 0.000600029          10    A'   11  1160.2287  0.232042
  2   0   0 10  2  9  7177.878759254 0.000690592           7    A"  408  7178.1117  0.232941
  2   0   0 10  2  8  7177.882505542 0.000690586           7    A'  460  7178.1155  0.232994
  0   0   1 10  5  5  1274.350818622 0.000529206           8    A"   12  1274.1168  0.234019
  0   0   1 10  5  6  1274.350851085 0.000565702           7    A'   14  1274.1168  0.234051
  1   0   1 15  1 15  4468.347473914 0.000858846           6    A"  155  4468.1118  0.235674
  3   1   0 20  2 19 11758.095430189 0.002078465           1    A" 1626 11757.8585  0.236930
  4   0   0 15  1 14 13563.985528271 0.002049394           7    A' 2496 13564.2227  0.237172
  2   0   0 15  0 15  7168.840465850 0.000746268           5    A"  484  7169.0819  0.241434
  2   0   0 10  5  5  7561.699752676 0.001306759           3    A"  466  7561.4583  0.241453
  2   0   0 10  5  6  7561.699762491 0.001306765           3    A'  525  7561.4583  0.241462
  1   0   1 15  1 14  4469.954219943 0.000881824           4    A'  137  4469.7120  0.242220
  3   1   0 20  1 19 11705.182518508 0.002078465           1    A" 1601 11705.4288  0.246281
  3   1   0 10  1 10 11550.134359179 0.002029781           1    A' 1592 11550.3816  0.247241
  4   0   0 10  2  9 13549.384611553 0.002019905           6    A" 2234 13549.6385  0.253888
  1   0   0 20  8 12  5027.876883619 0.001615555           1    A'  193  5027.6216  0.255284
  4   0   0 10  2  8 13549.382873490 0.002029783           9    A' 2499 13549.6385  0.255627
