nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  4   0   0 10  1 10 13498.350026062 0.002019903           5    A' 2469 13497.6547  0.695326
  1   1   0 15  2 14  5018.680421302 0.001170506           3    A'  181  5017.9819  0.698521
  1   1   0 15  2 13  5018.699775859 0.001187440           4    A"  205  5018.0010  0.698776
  1   2   0 20  2 19  6303.867372499 0.006823490           2    A"  302  6304.5737  0.706328
  1   1   0 10  3  7  5053.359360053 0.002218111           9    A"  174  5052.6300  0.729360
  1   1   0 10  3  8  5053.359792452 0.002218112           9    A'  198  5052.6299  0.729892
  1   0   0 15  1 14  3748.649104563 0.001552445           2    A'   90  3749.3813  0.732195
  1   1   0 20  1 20  5046.645477316 0.001220663           5    A'  195  5045.9104  0.735077
  1   0   0 15  1 15  3747.036625528 0.001565254           3    A"  103  3747.7724  0.735774
  3   1   0 15  3 12 11760.026404795 0.002049394           1    A' 1654 11759.2889  0.737505
  3   1   0 15  3 13 11760.026386286 0.002049412           1    A" 1830 11759.2888  0.737586
  3   0   0 20  1 20 10546.425451608 0.003046312           5    A' 1323 10547.1667  0.741248
  0   0   1 20  7 14  1897.638361159 0.000721123           2    A'   27  1896.8966  0.741761
  0   0   1 20  7 13  1897.638391520 0.000748341           2    A"   23  1896.8966  0.741792
  1   1   0 15  4 11  5255.786995275 0.002245014           7    A"  229  5255.0441  0.742895
  1   1   0 15  4 12  5255.787000141 0.002244998           7    A'  203  5255.0441  0.742900
  1   1   0 20  1 19  5049.739234552 0.001220664           5    A"  172  5048.9958  0.743435
  3   0   0 15  0 15 10441.187538738 0.003026552           5    A" 1315 10440.4426  0.744939
  1   0   0 10  2  8  3740.731695366 0.001539484           3    A'  104  3741.4767  0.745005
  1   0   0 10  2  9  3740.727493634 0.003013307           1    A"   90  3741.4732  0.745706
  0   0   1 15  8  8  2101.499475298 0.000663351           1    A'   30  2100.7485  0.750975
  0   0   1 15  8  7  2101.499478276 0.000632489           1    A"   35  2100.7485  0.750978
  1   2   0 15  3 13  6317.976942555 0.006814697           2    A"  351  6318.7311  0.754157
  1   2   0 15  3 12  6317.976958882 0.006814691           2    A'  313  6318.7312  0.754241
  4   0   0 15  3 13 13697.939118784 0.002059131           5    A" 2838 13698.6987  0.759581
  3   0   0 15  1 15 10457.968176855 0.003033152           6    A" 1321 10457.2031  0.765077
  3   0   0 15  1 14 10459.684116768 0.003026563           4    A' 1189 10458.9140  0.770117
  3   1   0 10  4  7 11822.684390949 0.002029783           1    A" 1524 11821.9123  0.772091
  3   1   0 10  4  6 11822.684400274 0.002039608           1    A' 1708 11821.9123  0.772100
  4   0   0 15  3 12 13697.937400459 0.002068819           9    A' 2568 13697.1537  0.783700
  1   0   0 10  1 10  3682.925259179 0.001539484           1    A'   99  3683.7158  0.790541
  1   0   0 10  1  9  3683.661844256 0.001526439           2    A"   86  3684.4538  0.791956
  0   2   0 20  6 15  3435.720989217 0.001183392           1    A"   71  3436.5131  0.792111
  0   2   0 20  6 14  3435.720980149 0.001166404           1    A'   81  3436.5131  0.792120
  1   0   1 15  5 11  4925.917889390 0.001584452           1    A"  190  4925.1168  0.801089
  1   0   1 15  5 10  4925.917904999 0.001584435           1    A'  169  4925.1168  0.801105
  3   2   0 15  1 14 12750.617441048 0.007748337           2    A' 2085 12751.4211  0.803659
  1   0   0 10  0 10  3664.126464428 0.001526437           1    A'   98  3664.9364  0.809936
  0   1   0  0  0  0  1238.624734791 0.000400000           2    A'    3  1237.8129  0.811835
  1   1   0 15  3 12  5117.671136859 0.002244998           6    A'  188  5116.8521  0.819037
  1   1   0 15  3 13  5117.671430905 0.002245014           6    A"  212  5116.8520  0.819431
  1   1   0 20  2 18  5107.767040420 0.001236939           7    A'  205  5106.9438  0.823240
  1   1   0 20  2 19  5107.709905503 0.001220681           6    A"  181  5106.8852  0.824706
  5   0   0 20  5 15 16967.695592930 0.002088071           1    A" 4793 16968.5271  0.831507
  4   0   0  0  0  0 13427.397437550 0.002000000           3    A'  260 13426.5654  0.832038
  3   2   0 10  3  8 12836.137090582 0.002029779           2    A' 2140 12836.9786  0.841509
  3   2   0 10  3  7 12836.137081219 0.002019910           2    A" 1913 12836.9787  0.841619
  3   0   0 10  3  7 10535.175831662 0.006006664           6    A" 1106 10534.3323  0.843532
  3   0   0 10  3  8 10535.176567699 0.006009992           6    A' 1240 10534.3323  0.844268
  0   1   0 10  0 10  1293.197600711 0.000489907           6    A'   15  1292.3386  0.859001
  1   0   0  0  0  0  3609.479737550 0.003000000           1    A'   13  3610.3389  0.859162
  3   2   0 15  5 10 13198.737345019 0.002068820           1    A' 2305 13199.6036  0.866255
  3   2   0 15  5 11 13198.737326784 0.002068838           1    A" 2550 13199.6036  0.866273
  0   1   0 10  1 10  1313.526812042 0.000489907           7    A'   16  1312.6588  0.868012
  3   2   0 20  3 17 12988.558320422 0.002078468           2    A" 2159 12987.6894  0.868920
  0   1   0 10  1  9  1314.313724849 0.000489916           5    A"   13  1313.4444  0.869325
  3   0   0 10  5  5 10815.263690671 0.006009993           4    A" 1189 10816.1343  0.870609
  3   0   0 10  5  6 10815.263686847 0.006009995           4    A' 1333 10816.1343  0.870613
  1   2   0 10  3  8  6253.850635582 0.006808818           2    A'  328  6254.7234  0.872764
  1   2   0 10  3  7  6253.850626219 0.006805882           2    A"  290  6254.7234  0.872774
  3   0   0 20  0 20 10530.259785638 0.003046312           4    A' 1316 10529.3670  0.892786
  3   2   0 15  4 12 13031.183638560 0.002937251           2    A' 2221 13032.0785  0.894861
  3   2   0 15  4 11 13031.183635114 0.002956040           2    A" 2455 13032.0785  0.894865
  0   1   0 10  2  8  1376.012594060 0.000529154           5    A'   18  1375.1165  0.896094
  0   1   0 10  2  9  1376.009322513 0.001039239           3    A"   15  1375.1129  0.896423
  5   0   0 20  4 16 16822.101079658 0.002088068           1    A' 5148 16821.1981  0.902980
  0   2   0 15  6 10  3347.074279442 0.001113748           2    A'   71  3347.9790  0.904721
  0   2   0 15  6  9  3347.074272828 0.001113772           2    A"   81  3347.9790  0.904727
  0   1   0 15  0 15  1357.655355086 0.000565699           5    A"   15  1356.7403  0.915055
  3   0   0 20  1 19 10549.423119018 0.003046312           4    A" 1191 10548.5069  0.916219
  0   1   0 15  1 15  1377.524641869 0.000600011           5    A"   16  1376.6014  0.923242
  4   0   0 10  0 10 13481.867170711 0.002019903           4    A' 2462 13480.9438  0.923371
  3   1   0 15  5 10 12049.057345019 0.002068820           1    A' 1772 12049.9928  0.935455
  3   1   0 10  5  6 11985.007407771 0.002029789           1    A' 1770 11984.0682  0.939208
  3   1   0 10  5  5 11985.007417199 0.002029793           1    A" 1580 11984.0682  0.939217
  1   2   0 15  2 14  6215.091144307 0.006814691           2    A'  302  6216.0323  0.941156
  0   1   0 10  3  8  1479.261298365 0.001039240           3    A'   19  1478.3197  0.941598
  0   1   0 10  3  7  1479.261352355 0.000489934           6    A"   16  1478.3197  0.941652
  3   2   0 20  1 19 12839.924594858 0.002078477           1    A" 2088 12840.8668  0.942205
  3   0   0 15  3 12 10599.532430112 0.006016645           6    A' 1236 10598.5890  0.943430
  1   1   0 20  3 17  5206.670753489 0.001236939           9    A"  188  5205.7268  0.943953
  1   1   0 20  3 18  5206.670801335 0.001220668           9    A'  212  5205.7265  0.944301
  3   0   0 15  3 13 10599.533884565 0.003039739           7    A" 1370 10598.5889  0.944985
  3   1   0 15  5 11 12049.047326784 0.002068838           1    A" 1963 12049.9928  0.945473
  1   2   0 15  2 13  6215.106498095 0.006814691           2    A"  339  6216.0543  0.947802
  0   1   0 15  2 14  1440.454561996 0.001095451           3    A'   15  1439.5025  0.952062
  0   1   0 15  2 13  1440.472373529 0.000632468           6    A"   18  1439.5199  0.952474
  1   2   0 20  1 19  6243.575666683 0.003446740           2    A"  293  6244.5424  0.966733
  5   0   0 20  3 17 16707.452807167 0.002078477           1    A" 4575 16708.4209  0.968093
  3   0   0 20  2 18 10600.792677174 0.003046312           6    A' 1343 10599.8176  0.975077
  3   0   0 20  2 19 10600.730895872 0.003046320           7    A" 1210 10599.7550  0.975896
  3   2   0 10  5  6 13134.880562475 0.005011994           1    A' 2290 13135.8573  0.976738
  1   0   1 20  5 16  5014.256955695 0.001621865           2    A'  190  5013.2799  0.977056
  1   0   1 20  5 15  5014.256962920 0.001621881           2    A"  169  5013.2799  0.977063
  4   0   0 20  2 18 13702.802488616 0.002068821           7    A' 2788 13703.7820  0.979511
  0   2   0 10  6  5  3283.014747268 0.001077257           2    A"   68  3284.0012  0.986453
  0   2   0 10  6  4  3283.014739671 0.001077249           2    A'   78  3284.0012  0.986460
  1   1   0 20  4 16  5344.727859612 0.002271567           7    A'  230  5343.7384  0.989460
  1   1   0 20  4 17  5344.727881929 0.002271570           7    A"  204  5343.7384  0.989482
  0   1   0 20  0 20  1446.836354925 0.000663339           5    A'   15  1445.8442  0.992155
  1   1   0 15  5 11  5432.610762231 0.002253889           3    A"  246  5433.6032  0.992438
  1   1   0 15  5 10  5432.610743726 0.002253905           3    A'  219  5433.6032  0.992456
  5   0   0 10  3  7 16554.807355964 0.002019910           1    A" 4012 16555.8011  0.993744
  3   2   0 10  1  9 12686.073821801 0.006005666           2    A" 1850 12685.0773  0.996522
  0   1   0 15  3 13  1543.680511255 0.001095486           3    A"   19  1542.6838  0.996711
  0   1   0 15  3 12  1543.680534378 0.000632469           6    A'   16  1542.6838  0.996734
  0   0   2 20  4 17  1960.931205273 0.001166198           3    A"   25  1959.9341  0.997105
  0   0   2 20  4 16  1960.931213941 0.001148955           3    A'   29  1959.9341  0.997114
  0   1   0 20  1 20  1466.083216933 0.000663339           5    A'   16  1465.0839  0.999317
  3   0   0 10  4  7 10657.938164284 0.006006666           6    A" 1140 10656.9385  0.999664
  3   0   0 10  4  6 10657.938169565 0.006006665           6    A' 1278 10656.9385  0.999670
  0   1   0 10  4  7  1623.338312548 0.001058310           3    A"   20  1622.3364  1.001913
  0   1   0 10  4  6  1623.338374451 0.000565688           4    A'   24  1622.3364  1.001974
  1   2   0 20  1 20  6240.157310625 0.006820559           2    A'  329  6241.1687  1.011389
  0   2   0 20  4 17  3012.057306215 0.001166375           7    A"   54  3013.0699  1.012594
  0   2   0 20  4 16  3012.057283898 0.001166370           7    A'   62  3013.0699  1.012616
  0   2   0 15  5 10  3114.654980762 0.001113748           5    A'   63  3115.6785  1.023519
  0   2   0 15  5 11  3114.654972971 0.001113772           5    A"   72  3115.6785  1.023527
  0   1   0 20  2 19  1529.632976416 0.001148921           3    A"   15  1528.6041  1.028876
  0   1   0 20  2 18  1529.686197314 0.001131384           4    A'   18  1528.6572  1.028997
  3   2   0 10  5  5 13134.880571926 0.005015978           1    A" 2045 13135.9129  1.032328
  4   0   0 15  1 15 13562.216845444 0.002039612           5    A" 2756 13561.1758  1.041045
  4   0   0 20  2 19 13702.734468983 0.002078465           4    A" 2523 13703.7820  1.047531
  0   1   0 15  4 12  1687.715225970 0.001095461           3    A'   20  1686.6587  1.056526
  0   1   0 15  4 11  1687.715278685 0.000600074           6    A"   24  1686.6587  1.056579
  1   2   0 10  2  9  6150.938743347 0.006805881           2    A"  280  6151.9970  1.058257
  1   2   0 10  2  8  6150.942028341 0.006808818           2    A'  317  6152.0015  1.059472
  0   1   0 20  3 17  1632.827680536 0.000692868           5    A"   16  1631.7549  1.072781
  0   1   0 20  3 18  1632.827749684 0.001148921           3    A'   19  1631.7547  1.073050
  3   2   0 20  3 18 12988.558154469 0.002078465           2    A' 2386 12987.4802  1.077954
  4   0   0 15  2 13 13613.735630312 0.002049393           9    A" 2784 13612.6523  1.083330
  3   0   0 20  3 17 10688.596915071 0.003052871           7    A" 1238 10687.5121  1.084815
  3   0   0 20  3 18 10688.597631930 0.003046314           7    A' 1372 10687.5118  1.085832
  1   2   0 20  0 20  6221.082827035 0.003440940           2    A'  326  6222.1752  1.092373
  0   2   0 20  3 17  2862.421504778 0.000761655           6    A"   48  2863.5198  1.098295
  0   2   0 20  3 18  2862.421303256 0.000734935           6    A'   56  2863.5196  1.098297
  0   1   0 15  5 10  1872.107552462 0.000663336           4    A'   25  1871.0066  1.100952
  0   1   0 15  5 11  1872.107557480 0.001095486           3    A"   29  1871.0066  1.100957
  0   2   0 10  5  6  3050.524819988 0.001077235           3    A'   70  3051.6308  1.105980
  0   2   0 10  5  5  3050.524802006 0.001077227           3    A"   61  3051.6308  1.105998
  4   0   0 10  4  7 13751.320286206 0.002029783           5    A" 2331 13750.2074  1.112886
  4   0   0 10  4  6 13751.322920980 0.002019906           7    A' 2605 13750.2074  1.115521
  0   2   0 15  4 12  2923.231792213 0.001113739           4    A'   54  2924.3599  1.128108
  0   2   0 15  4 11  2923.231789977 0.001113772           4    A"   62  2924.3599  1.128110
  0   1   0 20  4 17  1776.802958224 0.001148955           3    A"   20  1775.6709  1.132058
  0   1   0 20  4 16  1776.803003373 0.001148932           4    A'   24  1775.6709  1.132103
  1   2   0 15  1 14  6154.052511048 0.003423461           2    A'  293  6155.1879  1.135389
  0   1   0 10  6  5  2032.063542400 0.000565723           4    A"   29  2030.9066  1.156942
  0   1   0 10  6  4  2032.063630966 0.001077060           3    A'   34  2030.9066  1.157031
  0   2   0 20  2 18  2755.123201707 0.000734928           7    A'   53  2756.2851  1.161898
  0   2   0 20  2 19  2755.062262082 0.000761655           7    A"   46  2756.2244  1.162138
  1   2   0 15  1 15  6152.094238883 0.003429288           2    A"  329  6153.2577  1.163461
  0   2   0 20  1 19  2692.102779896 0.000734928           4    A"   44  2693.3002  1.197420
  4   0   0 20  1 19 13653.683067479 0.002068821           6    A" 2499 13652.4808  1.202267
  0   2   0 20  1 20  2688.824054841 0.000734928           6    A'   51  2690.0305  1.206445
  0   1   0 15  6  9  2096.324085948 0.000600074           5    A"   34  2095.1141  1.209986
  0   1   0 15  6 10  2096.324165069 0.000632526           4    A'   29  2095.1141  1.210065
  0   2   0 10  4  6  2859.044116081 0.001058498           6    A'   61  2860.2555  1.211384
  0   2   0 10  4  7  2859.044110185 0.001058506           6    A"   53  2860.2555  1.211390
  0   2   0 15  3 13  2773.529108482 0.000678319           7    A"   56  2774.7437  1.214592
  0   2   0 15  3 12  2773.528592711 0.000678317           7    A'   48  2774.7438  1.215207
  0   2   0 20  0 20  2668.853729731 0.000734928           4    A'   49  2670.0695  1.215770
  3   2   0 15  0 15 12730.697070532 0.002039612           2    A" 2296 12731.9150  1.217929
  0   1   0 10  7  4  2295.523578417 0.001095465           3    A'   42  2294.2774  1.246178
  0   1   0 10  7  3  2295.523602901 0.001095472           3    A"   36  2294.2774  1.246203
  3   2   0 20  0 20 12819.194007840 0.004455535           2    A' 2298 12820.4461  1.252092
  1   2   0 15  0 15  6132.313757735 0.003429288           2    A"  326  6133.5677  1.253942
  4   0   0 15  5 11 13966.424346348 0.002059130           5    A" 3001 13965.1696  1.254746
  4   0   0 15  5 10 13966.424733226 0.002059148           7    A' 2717 13965.1696  1.255133
  1   2   0 10  1  9  6089.355686801 0.003411747           2    A"  271  6090.6122  1.256513
  3   0   0 20  7 13 11385.026493335 0.006036557           1    A" 1478 11383.7683  1.258193
  3   0   0 20  7 14 11385.026506179 0.006033249           1    A' 1636 11383.7683  1.258206
  0   1   0 20  5 15  1961.196118606 0.001166198           3    A"   25  1959.9341  1.262019
  0   1   0 20  5 16  1961.196127274 0.001148955           3    A'   29  1959.9341  1.262027
  1   1   0 20  5 16  5521.479770776 0.002271573           4    A'  246  5520.2095  1.270271
  1   1   0 20  5 15  5521.479774401 0.002271585           4    A"  219  5520.2095  1.270274
  1   2   0 10  1 10  6088.454181833 0.003411746           2    A'  307  6089.7267  1.272518
  0   2   0 10  3  8  2709.293835069 0.001077221           8    A'   54  2708.0200  1.273835
  0   2   0 15  2 13  2666.154886047 0.000678316           7    A"   53  2667.4342  1.279314
  0   2   0 15  2 14  2666.134922080 0.000648217           6    A'   46  2667.4144  1.279478
  0   1   0 20  6 15  2185.250240549 0.001166198           3    A"   29  2183.9668  1.283441
  0   1   0 20  6 14  2185.250351444 0.000721123           5    A'   34  2183.9668  1.283551
  0   1   0 15  7  9  2359.710428262 0.001095486           3    A"   42  2358.4120  1.298428
  0   1   0 15  7  8  2359.710431845 0.001113561           3    A'   36  2358.4120  1.298432
  0   2   0 10  3  7  2709.293424038 0.001058506           8    A"   47  2710.5925  1.299076
  3   0   0 15  5 11 10879.540775923 0.006016651           5    A" 1472 10878.2346  1.306176
  3   0   0 15  5 10 10879.540785938 0.006016646           5    A' 1328 10878.2346  1.306186
  0   2   0 15  1 14  2602.449746992 0.000648217           6    A'   44  2603.7669  1.317153
  0   2   0 15  1 15  2600.573886676 0.000648163           7    A"   51  2601.8961  1.322213
  4   0   0 20  6 14 14239.073681708 0.008464294           2    A' 3127 14237.7403  1.333382
  0   2   0 15  0 15  2579.924213284 0.000678316           4    A"   49  2581.2576  1.333387
  0   1   0 10  8  3  2597.467726785 0.001113572           3    A"   44  2596.1269  1.340827
  0   1   0 10  8  2  2597.467749014 0.001113579           3    A'   51  2596.1269  1.340849
  0   2   0 10  2  9  2601.870606595 0.000583196           7    A"   45  2603.2346  1.363993
  0   2   0 10  2  8  2601.874276531 0.000583188           8    A'   52  2603.2387  1.364423
  4   0   0 20  4 16 13904.525654579 0.002078472           6    A' 2912 13903.1597  1.365955
  4   0   0 20  4 17 13904.526120078 0.002078468           4    A" 2637 13903.1597  1.366420
  1   2   0 10  0 10  6068.153026481 0.003417603           2    A'  304  6069.5209  1.367874
  0   1   0 20  7 13  2448.534423692 0.001183222           3    A"   36  2447.1635  1.370924
  0   1   0 20  7 14  2448.534432862 0.001166198           3    A'   42  2447.1635  1.370933
  0   1   0 15  8  8  2661.571305205 0.001113579           3    A'   45  2660.1787  1.392605
  0   1   0 15  8  7  2661.571308561 0.001113572           3    A"   52  2660.1787  1.392609
  0   2   0 10  1  9  2537.658468189 0.000583196           6    A"   43  2539.0622  1.403732
  0   2   0 10  1 10  2536.798013134 0.000583188           7    A'   50  2538.2040  1.405987
  0   2   0 10  0 10  2515.645772302 0.000583188           5    A'   48  2517.0645  1.418728
  3   2   0 15  2 14 12806.117523290 0.002059130           2    A' 2114 12807.5522  1.434677
  0   1   0 10  9  2  2937.140950224 0.001131390           1    A'   66  2935.7007  1.440250
  0   1   0 10  9  1  2937.140973474 0.001131397           1    A"   57  2935.7007  1.440273
  3   2   0 15  2 13 12806.134943095 0.002049393           2    A" 2338 12807.5797  1.444757
  1   2   0  0  0  0  6013.836097550 0.003400000           1    A'   36  6015.2929  1.456802
  0   1   0 20  8 12  2750.280041066 0.001183254           3    A'   52  2748.8156  1.464441
  0   1   0 20  8 13  2750.280048936 0.001183222           3    A"   45  2748.8156  1.464449
  0   2   0  0  0  0  2461.223987550 0.000510000           1    A'    7  2462.7137  1.489712
  3   0   0 15  6  9 11071.005987197 0.006016651           3    A" 1550 11069.5074  1.498587
  3   0   0 15  7  9 11296.230003412 0.006023296           1    A" 1632 11294.7308  1.499203
  3   0   0 15  7  8 11296.230008450 0.006023291           1    A' 1475 11294.7308  1.499208
  3   0   0 15  6 10 11071.005984070 0.006016646           3    A' 1398 11069.4816  1.524384
  3   0   0 20  6 14 11159.879119070 0.006029933           2    A' 1551 11158.2223  1.656819
  3   0   0 20  6 15 11159.879122312 0.006029929           2    A" 1399 11158.2223  1.656822
  3   2   0  0  0  0 12612.516437550 0.005000000           1    A'  221 12614.3493  1.832862
  0   0   2 15  4 11  1873.287648148 0.001095486           2    A"   29  1871.0066  2.281048
  0   0   2 15  4 12  1873.287664909 0.001095461           2    A'   25  1871.0066  2.281065
